character,passive_name,effect_type,damage_multiplier,defense_multiplier,additional_damage,condition,rarity_required,notes
Roswitha,Condemnor Stake,unknown,1.0,1.0,0,vs_psyker,Common,Deals +X Damage against Psykers.
Sarquael,Grim Retribution,unknown,1.0,1.0,0,adjacent,Common,"During each enemy turn, if there is no enemy adjacent to Sarquael, he shoots back at the first enemy within range that attacked him or a friendly adjacent Dark Angel. This shot counts as Overwatch and"
Shadowsun,Defender of the Greater Good,conditional_damage,1.5,1.0,0,markerlight,Uncommon,+50% dmg with ranged attacks for adjacent units
Shiron,Terrifying Crescendo,unknown,1.0,1.0,0,always,Common,"Shiron's ranged attacks deal +X Damage for each time he Overkilled or would have Suppressed an enemy unit, up to a maximum of 6 times."
Sho'syl,MV71 Sniper Drone Squad,utility_summon,1.0,1.0,0,adjacent,Common,"Instead of a ranged attack, Sho'syl summons a MV71 Sniper Drone and commands it to attack the target. This attack uses Sho'syl's Damage stat, while other effects, like buffs, are taken from the Drone."
Sibyll Devine,Nightshroud,unknown,1.0,1.0,0,always,Common,All friendly units starting their turn adjacent to Sibyll Devine gain Infiltrate for that turn and take -X damage from each hit in their and the next enemy turn.
Snappawrecka,Power Trip,conditional_damage,1.5,1.0,0,conditional,Common,"Normal attacks ignore X Armour. If Snappawrecka is at full Health, his normal attacks additionally score +1 hit and reduce the target's Armour by X Armour, but also cause Snappawrecka to lose 5% of hi"
Snotflogga,Squig Hound,utility_summon,1.0,1.0,0,adjacent,Common,"Friendly Grots ignore Battle Fatigue. Each time Snotflogga attacks, the Squig Hound also bites the target, dealing an additional 2x X Physical Damage. Then, if there are less than 5 friendly Grots on "
Sword Brother Godswyl,Champion of the Feast,unknown,1.0,1.0,0,adjacent,Common,"After moving, deals 1x X Power Damage to an adjacent enemy and reduces this enemy's Armour by Y Armour for the rest of the battle. If Sword Brother Godswyl does not move, then this ability triggers at"
Sy-Gex,Heavy Grav-Cannon,unknown,1.0,1.0,0,vs_mechanical,Common,"Ranged attacks against Mk X Gravis, Terminator Armour, or Mechanical units deal +X Damage and have +Y% pierce ratio."
Tan Gi'da,Control Edict,utility_summon,1.0,1.0,0,vs_mechanical,Common,"While Protector Imperative is active: After Tan Gi'da attacks, summon a Skitarii Vanguard in a free adjacent hex. Cannot have more than X Skitarii Vanguards summoned this way at the same time. While C"
Tanksmasha,Smasha 'Ead,unknown,1.0,1.0,0,conditional,Common,"When he traverses 2 or more hexes during his turn, then Tanksmasha gains +X Damage for normal attacks and takes -Y% Damage until the start of his next turn."
Tarvakh,Trophy Taker,unknown,1.0,1.0,0,low_health,Common,Tarvakh's attacks against units that are at or below 50% of their maximum Health deal +X Damage and additional +X Crit Damage. His Crit Chance is increased by Y% for each unit that he defeated this ba
Thaddeus Noble,Spotter,unknown,1.0,1.0,0,always,Common,Friendly units within 2 hexes with the trait Heavy Weapon gain +X Damage.
Thaumachus,Arcane Shield,unknown,1.0,1.0,0,vs_chaos,Common,"After moving, Thaumachus applies a Shield to the closest friendly unit within 2 hexes, preferring Thousand Sons units, then other Chaos units, then other friendly units, and lastly casting it on himse"
The Patermine,Cosmic Horror,unknown,1.0,1.0,0,conditional,Common,"Whenever the Patermine defeats an enemy, it places a Decoy on the hex of that enemy. Other enemies surrounding the defeated unit have a X% chance to be Suppressed for 1 round, and have a X% chance to "
Thutmose,Living Lightning,unknown,1.0,1.0,0,adjacent,Common,"After moving, deals 1x X Direct Damage to one random adjacent enemy. If Thutmose does not move, then this ability triggers at the end of his turn. This ability's Damage ignores all of the attacker bon"
Titus,Fuelled by Fury,unknown,1.0,1.0,0,always,Common,Deals +X Damage with all attacks for each time a friendly Character has used an active ability this battle. The first time each turn that Titus is defeated he cannot be Overkilled. The first time each
Tjark,Hunters Beyond Death,unknown,1.0,1.0,0,vs_psyker,Common,"Deals +X Damage against Psykers, and Enemy Psykers within 2 Hexes deal -X Damage. Unless they are Immune, Enemy Psykers within 2 Hexes will not hit an additional unit with their normal ranged attacks."
Toth,Time Flux,unknown,1.0,1.0,0,conditional,Common,"At the beginning of his turn, Toth regenerates X Health plus an additional amount equal to the Damage of the last hit he received in the last enemy turn. The total amount restored cannot exceed Y Heal"
Trajann,Legendary Commander,conditional_damage,1.3,1.0,0,adjacent_to_ability_user,Rare,+30% dmg to enemies adjacent to ability users
Typhus,Destroyer Hive,unknown,1.0,1.0,0,always,Common,Deals 1x X Direct Damage to one random adjacent enemy at the start of his turn.
Tyrant Guard,Guardian Organism,direct_defense,1.0,0.7,0,synapse_or_no_move,Common,-30% incoming dmg when in synapse or no move
Tyrith,Unwavering Sentinel,unknown,1.0,1.0,0,adjacent,Common,"During each enemy turn, after Tyrith is attacked and the attacker is within range 2, she deals 2x X Bolter Damage to the attacker. If there is an enemy adjacent to Tyrith, the range of this ability is"
Ulf,Savage Killer,utility_summon,1.0,1.0,0,adjacent,Common,"When a Summon moves to or is summoned adjacent to Ulf, he immediately deals 5x X Power Damage to it. Ulf will also perform this ability against any enemy that attempts to use an active ability while i"
Varro Tigurius,Psychic Fortress,unknown,1.0,1.0,0,always,Common,All friendly surrounding units have an added Block with 50% chance to block X damage. Also reduces incoming Psychic Damage by Y.
Vindicta,Fire of Absolution,unknown,1.0,1.0,0,adjacent,Common,"When performing a ranged attack, also deals 3x X Flame Damage to all units adjacent to the target. Has a 30% chance of setting each adjacent hex on Fire as well."
Vitruvius,Master Annihilator,unknown,1.0,1.0,0,conditional,Rare,"When Vitruvius performs a Normal Attack against an enemy, that enemy is affected by Master Annihilator until Vitruvius is defeated of performs a normal attack against a different unit. Attacks by any "
Volk,Fleshmetal Guns,unknown,1.0,1.0,0,conditional,Common,Volk has a 30% chance of adding +X Heavy Round Damage and +20% Pierce ratio to all hits when performing a ranged attack. Does not apply to hits from Frenzied Firing.
Winged Prime,Synaptic Lynchpin,utility_summon,1.5,1.0,0,adjacent,Common,"Whenever the Winged Prime, or another friendly unit with Synapse, performs a normal attack against an enemy and that enemy is not defeated, summon a Hormagaunt adjacent to the target, which immediatel"
Wrask,Wrathful Devotion,unknown,1.0,1.0,0,vs_chaos,Common,"When Wrask arrives from Deep Strike or defeats an enemy in melee, he and adjacent friendly Chaos units gain a Shield with X Health for 1 round."
Xybia,Decoy,utility_summon,1.0,1.0,0,adjacent,Common,"After moving, places a Decoy on an empty adjacent hex. Then, if there are 2 or more decoys adjacent to Xybia, summons a Neophyte Hybrid on one adjacent decoy. If Xybia does not move, then this ability"
Yazaghor,Reality Unbound,unknown,1.0,1.0,0,conditional,Common,For each different enemy unit that was dealt Psychic Damage this turn Yazaghor deals +X Maximum Damage with his normal ranged attacks. If three or more different enemy units have been dealt Psychic Da
